university,code
abdullah gül ü.,1
abdullah gül üniversitesi,1
"acibadem mehmet ali̇ aydinlar 
üni̇versi̇tesi̇",2
acibadem mehmet ali̇ aydinlar üni̇versi̇tesi̇,2
acibadem mehmet ali̇ aydinlar üni̇versi̇tesi̇ (ingilizce),2
acibadem mehmet ali̇ aydinlar üni̇versi̇tesi̇ (i̇ngilizce),2
acıbadem maa ü.,2
acıbadem mehmet ali aydınlar ü.,2
acıbadem mehmet ali aydınlar üniversitesi,2
ada kent üni̇versi̇tesi̇,3
adana alparslan türkeş bilim ve teknoloji ü.,5
adana at bilim ve teknoloji ü.,5
adana at bt ü.,5
adıyaman ü.,6
adıyaman üniversitesi,6
adıyaman üniversitesi,6
afyon kocatepe ü.,7
afyon kocatepe üniversitesi,7
afyon sağlık bilimleri ü.,8
afyon sağlık bilimleri üniversitesi,8
afyon kocatepe üniversitesi,7
afyon sağlık bilimleri üniversitesi,8
akdeniz ü.,9
akdeniz üniversitesi,9
akdeni̇z karpaz üni̇versi̇tesi̇,10
aksaray ü.,11
aksaray üniversitesi,11
aksaray üniversitesi,11
alanya alaaddin keykubat ü.,12
alanya alaaddin keykubat üniversitesi,12
alanya hamdullah emin paşa ü.,13
alanya hamdullah emin paşa üniversitesi,13
"alanya hamdullah emi̇n paşa 
üni̇versi̇tesi̇",13
alanya hamdullah emi̇n paşa üni̇versi̇tesi̇,13
alanya hamdullah emi̇n paşa üni̇versi̇tesi̇ (ingilizce),13
alanya hamdullah emi̇n paşa üni̇versi̇tesi̇ (i̇ngilizce),13
alanya alaaddin keykubat üniversitesi,12
altinbaş üni̇versi̇tesi̇,14
altinbaş üni̇versi̇tesi̇ (ingilizce),14
altinbaş üni̇versi̇tesi̇ (i̇ngilizce),14
altinbaş üni̇versi̇tesi̇ (uolp-köln üniversitesi),14
altınbaş ü.,14
altınbaş üniversitesi,14
amasya ü.,15
amasya üniversitesi,15
amasya üniversitesi,15
anadolu ü.,16
anadolu üniversitesi,16
ankara bilim ü.,17
ankara bilim üniversitesi,17
ankara bi̇li̇m üni̇versi̇tesi̇,17
ankara bi̇li̇m üni̇versi̇tesi̇ (i̇ngilizce),17
ankara bi̇li̇m üni̇versi̇tesi̇***,17
ankara hacı bayram veli ü.,18
ankara hacı bayram veli üniversitesi,18
ankara medipol ü.,19
ankara medipol üniversitesi,19
ankara medi̇pol üni̇versi̇tesi̇,19
ankara medi̇pol üni̇versi̇tesi̇ (i̇ngilizce),19
ankara medi̇pol üni̇versi̇tesi̇***,19
ankara müzik ve güzel san. ü.,20
ankara müzik ve güzel san.ü.,20
ankara müzik ve güzel sanatlar üniversitesi,20
ankara sosyal bilimler ü.,21
ankara sosyal bilimler üniversitesi,21
ankara yıldırım beyazıt ü.,22
ankara yıldırım beyazıt üniversitesi,22
ankara ü.,23
ankara üniversitesi,23
ankara bilim üniversitesi,17
