code,university,uni
1,abdullah gül ü.,agu
2,"acibadem mehmet ali̇ aydinlar 
üni̇versi̇tesi̇",acıbadem
3,ada kent üni̇versi̇tesi̇,adakent
5,adana alparslan türkeş bilim ve teknoloji ü.,atu
5,adana at bilim ve teknoloji ü.,atu
6,adıyaman ü.,adyu
7,afyon kocatepe ü.,aku
8,afyon sağlık bilimleri ü.,afsu
9,akdeniz ü.,akdeniz
10,akdeni̇z karpaz üni̇versi̇tesi̇,akun
11,aksaray ü.,aksaray
12,alanya alaaddin keykubat ü.,alanya
13,alanya hamdullah emin paşa ü.,alanyahep
14,altinbaş üni̇versi̇tesi̇,altınbaş
15,amasya ü.,amasya
16,anadolu ü.,anadolu
17,ankara bilim ü.,abilim
18,ankara hacı bayram veli ü.,hacıbayram
19,ankara medipol ü.,amedipol
20,ankara müzik ve güzel san. ü.,mgu
21,ankara sosyal bilimler ü.,asbu
22,ankara yıldırım beyazıt ü.,aybu
23,ankara ü.,ankara
24,antalya akev ü.,akev
25,antalya bilim ü.,antalya
26,ardahan ü.,ardahan
27,arkin yaratici sanatlar ve tasarim üni̇versi̇tesi̇,arucad
28,artvin çoruh ü.,artvin
29,atatürk ü.,atauni
30,ataşehi̇r adigüzel myo,adıgüzel
31,atilim üni̇versi̇tesi̇,atilim
32,avrasya ü.,avrasya
33,aydın adnan menderes ü.,adu
34,ağrı i̇brahim çeçen ü.,agri
35,bahçeşehir ü.,bau
36,bahçeşehi̇r kibris üni̇versi̇tesi̇,baucyprus
37,balıkesir ü.,balıkesir
38,bandırma onyedi eylül ü.,bandırma
39,bartın ü.,bartın
40,batman ü.,batman
41,bayburt ü.,bayburt
42,başkent ü.,başkent
43,beykent ü.,beykent
44,beykoz ü.,beykoz
45,"bezm-i̇ alem vakif 
üni̇versi̇tesi̇",bezmialem
46,bilecik şeyh edebali ü.,bilecik
47,bingöl ü.,bingöl
48,biruni ü.,biruni
49,bitlis eren ü.,beu
50,bolu abant i̇zzet baysal ü.,ibu
51,boğaziçi ü.,boun
52,burdur mehmet akif ersoy ü.,makif
53,bursa teknik ü.,btu
54,bursa uludağ ü.,uludag
55,demiroğlu bilim ü.,demiroğlu
56,dicle ü.,dicle
57,dokuz eylül ü.,deu
58,doğu akdeni̇z üni̇versi̇tesi̇,dau
59,doğuş ü.,dugus
60,düzce ü.,duzce
61,ege ü.,ege
62,erciyes ü.,erciyes
63,erzincan binali yıldırım ü.,ebyu
64,erzurum teknik ü.,etü
65,eskişehir osmangazi ü.,ogu
66,eskişehir teknik ü.,estu
67,fatih sultan mehmet vakıf ü.,fsm
68,fenerbahçe ü.,fbu
69,fırat ü.,fu
70,galatasaray ü.,gsu
71,gazi ü.,gazi
72,gaziantep i̇slam bilim ve tek. ü.,gibtu
73,gaziantep ü.,gantep
74,gebze teknik ü.,gtu
75,giresun ü.,giresun
76,gi̇rne ameri̇kan üni̇versi̇tesi̇,gau
77,gi̇rne üni̇versi̇tesi̇,girne
78,gümüşhane ü.,gümüşhane
79,hacettepe ü.,hu
80,hakkâri ü.,hakkari
81,haliç ü.,haliç
82,harran ü.,harran
83,hasan kalyoncu ü.,hku
84,hatay mustafa kemal ü.,mku
85,hitit ü.,hitit
86,isparta uygulamalı bilimleri ü.,isubu
87,iğdır ü.,ığdır
88,işik üni̇versi̇tesi̇,isikun
89,i̇bn haldun ü.,ihu
90,"i̇hsan doğramaci bi̇lkent 
üni̇versi̇tesi̇",bilkent
91,i̇nönü ü.,inönü
92,i̇skenderun teknik ü.,iste
93,"i̇stanbul 29 mayis 
üni̇versi̇tesi̇",29mayıs
94,i̇stanbul arel ü.,arel
95,i̇stanbul atlas ü.,atlas
96,i̇stanbul aydin üni̇versi̇tesi̇,aydın
97,"i̇stanbul ayvansaray 
üni̇versi̇tesi̇",topkapı
98,i̇stanbul bilgi ü.,bilgi
